task,latency,resource
0,7.343,75.0
1,7.287,62.0
2,7.187,71.0
3,7.279,69.0
4,7.327,64.0
5,7.455,41.0
6,50.975,37.0
7,68.991,34.0
8,8.239,31.0
9,7.151,40.0
10,16.303,40.0
11,63.519,43.0
12,7.543,43.0
13,7.219,55.0
14,7.203,61.0
15,88.959,41.0
16,4.519,38.0
17,97.535,61.0
18,10.199,65.0
19,7.207,54.0
20,7.051,60.0
21,7.263,48.0
22,7.623,53.0
23,7.211,40.0
24,7.375,40.0
25,55.359,50.0
26,7.739,46.0
27,28.159,41.0
28,20.527,44.0
29,87.807,41.0
30,861.695,38.0
31,253.311,44.0
32,94.463,38.0
33,44007.423,32.0
34,102.399,42.0
35,35.935,53.0
36,85.311,43.0
37,7.951,45.0
38,398.335,41.0
39,13.511,46.0
40,7.283,47.0
41,8.711,63.0
42,14.599,55.0
43,11.847,49.0
44,52.223,39.0
45,79.807,32.0
46,6672.383,29.0
47,13328.383,42.0
48,7630.847,50.0
49,24.607,47.0
50,47.615,41.0
51,15.063,40.0
52,171.007,38.0
53,17.647,54.0
54,102.975,49.0
55,11.911,49.0
56,17.343,49.0
57,18.207,60.0
58,25.743,51.0
59,7.839,52.0
60,7.383,61.0
61,32.991,49.0
62,23.839,48.0
63,24.207,42.0
64,20.783,48.0
65,8.303,51.0
66,16.719,41.0
67,87.999,30.0
68,8.607,35.0
69,39.711,41.0
70,20.095,34.0
71,32.383,40.0
72,11.175,45.0
73,27.183,49.0
74,7.135,57.0
75,12.143,48.0
76,7.283,41.0
77,8.967,41.0
78,9.751,41.0
79,23.903,43.0
80,8.047,49.0
81,7.567,52.0
82,31.279,42.0
83,15.711,33.0
84,20.399,35.0
85,9.215,37.0
86,24.623,46.0
87,44.671,47.0
88,45.887,47.0
89,7.859,47.0
90,62.719,53.0
91,20.671,42.0
92,17.711,51.0
93,11.447,51.0
94,21.823,47.0
95,8.199,48.0
96,14.855,45.0
97,10.911,37.0
98,9.335,49.0
99,84.607,51.0
100,9.831,47.0
